Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"scrollToElement(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/textarea_Current Address_currentAddress""), 3)",Chrome 144.0.0.0,,,20-02-2026 16:18:05,20-02-2026 16:18:06,"0,083s",PASSED
"setText(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/textarea_Current Address_currentAddress""), CurrentAddress)",Chrome 144.0.0.0,,,20-02-2026 16:18:06,20-02-2026 16:18:06,"0,392s",PASSED
"executeJavaScript(""window.scrollBy(0, 300)"", null)",Chrome 144.0.0.0,,,20-02-2026 16:18:06,20-02-2026 16:18:06,"0,018s",PASSED
delay(1),Chrome 144.0.0.0,,,20-02-2026 16:18:06,20-02-2026 16:18:07,"1,018s",PASSED
"executeJavaScript(""var ads=document.querySelectorAll('.ad-container,.close-button,#adplus-anchor,[id*=google_ads],[class*=adsbygoogle]'); ads.forEach(function(a){a.remove();});"", null)",Chrome 144.0.0.0,,,20-02-2026 16:18:07,20-02-2026 16:18:07,"0,053s",PASSED
delay(1),Chrome 144.0.0.0,,,20-02-2026 16:18:07,20-02-2026 16:18:08,"1,009s",PASSED
"scrollToElement(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/div_state_container""), 3)",Chrome 144.0.0.0,,,20-02-2026 16:18:08,20-02-2026 16:18:08,"0,106s",PASSED
"click(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/div_state_container""))",Chrome 144.0.0.0,,,20-02-2026 16:18:08,20-02-2026 16:18:08,"0,208s",PASSED
delay(1),Chrome 144.0.0.0,,,20-02-2026 16:18:08,20-02-2026 16:18:09,"1,010s",PASSED
"for ([i = 0, i < 10, (i++)])",Chrome 144.0.0.0,,,20-02-2026 16:18:09,20-02-2026 16:18:09,"0,049s",PASSED
